Evento C1 Duración_(min)_pl "Intensidad_media pl" Intensidad_máxima_pl Intensidad_continuap_pl C_(mm_est Duración_(min)_esta Intensidad_media_est Intensidad_máxima_est Intensidad_continua_est Hs_5cm Hs_40_cm Hs_60 Hs_80 Hs_100 "Lluvia antecedent_24 horas_pluv" "Lluvia antecedent_24_horas_esta" "Lluvia antecedent_48_horas_pluv" Lluvia_antecedent_48_horas_est Qmax Trespuesta_(min)_plub Trespuesta_est Q_inicial
"Evento 11" 1,943679879 30 3,887359758 52,0628539375 6,66 1,6 15 6,4 25 6,4 0,39789798 0,525477807 0,564923474 0,59463135 0,548324349 1,943679879 1,8 11,66207927 10,8 15,77 30 35 14,62274641
"Evento 12" 19,15913024 45 25,5455069866667 485,919969875 37,76 18 65 16,6153846153846 48,95825 37,6 0,387307316 0,520720335 0,559205341 0,588581489 0,542613213 19,9921359 18,6 21,93581578 20,4 34,01 45 50 13,80053807
"Evento 13" 24,434832766 220 6,66404529981819 138,83 8,59741935483871 22,2 235 5,66808510638298 38,5416666666667 29,6 0,39907473 0,528332284 0,564923474 0,588581489 0,549466609 25,26783843 22,8 25,54550698 23,2 17,61743855 52 57 12,40154251
"Evento 14" 35,26390638 285 7,42398029052632 190,897131 16,326 32,4 285 6,82105263157895 55,2083325 42,4 0,388484066 0,52167185 0,555393263 0,578901695 0,540328734 27,48918687 22 27,48918687 22 50,71441142 170 175 11,8045422
"Evento 15" 10,829073614 95 6,83941491410526 156,18856175 19,98 10 95 6,31578947368421 28,125 21,6 0,420256037 0,543556115 0,576359707 0,60068121 0,560888882 18,88146168 20,8 46,37064855 42,8 17,39260112 120 125 12,99085281
"Evento 16" 34,153232165 150 13,661292866 381,794262 17,8690909090909 31,6 135 14,0444444444444 73,958325 19,3642105263158 0,395544502 0,528332284 0,563017418 0,586161519 0,548324349 0,555337108 0,2 0,555337108 0,2 45,26517719 90 95 12,93271574
"Evento 17" 7,774719514 150 3,1098878056 52,0628539375 6,66666666666667 6,8 155 2,63225806451613 15,625 5,86666666666667 0,407311895 0,539750157 0,571594585 0,595841313 0,556319964 15,54943903 13,2 54,14536806 49 17,13227413 100 105 12,37489418
"Evento 18" 23,601827102 290 4,88313664179311 104,1257078125 5,04 20,6 275 4,49454545454545 33,3325 13,0285714285714 0,412018852 0,544507596 0,574453651 0,598261283 0,559746662 33,8755636 28,6 49,42500263 41,8 34,53606609 95 100 13,74535505
"Evento 19" 21,935815779 180 7,311938593 121,4799924375 11,6666666666667 19,6 195 6,03076923076923 41,665 4,8 0,426139744 0,542604634 0,576359707 0,60310118 0,56317336 23,87949566 21,2 57,75505926 49,8 42,28595305 145 150 17,86879795
"Evento 20" 4,442696865 115 2,31792879913043 69,4171385625 6,66 4 100 2,4 10,415 3,2 0,393191023 0,534041204 0,566829496 0,589791452 0,54718213 8,330056622 7,6 23,60182709 21,4 18,35249324 115 120 15,97009216
"Evento 21" 2,776685541 40 4,1650283115 52,0628539375 4,9998 2,2 35 3,77142857142857 6,25 8 0,395544502 0,537847161 0,567782507 0,591001416 0,550608828 8,330056622 7,6 23,60182709 21,4 18,85429234 65 60 16,71258115
"Evento 22" 4,442696868 45 5,923595824 52,0628539375 7,13142857142857 4,2 65 3,87692307692308 11,45833325 8,8 0,39789798 0,530235246 0,566829496 0,591001416 0,550608828 9,718399394 8,6 14,71643337 13,8 15,8335669 45 85 12,46021879
"Evento 23" 4,998033975 80 3,74852548125 121,4799924375 13,329 4,4 35 7,54285714285714 29,6875 22,8 0,393191023 0,524526326 0,560158352 0,583741592 0,544897651 8,330056623 7,6 8,607725177 7,8 16,85252767 95 100 15,66871795
"Evento 24" 1,666011324 50 1,9992135888 17,354284625 3,33 0,6 10 3,6 4,6875 3,6 0,393191023 0,525477807 0,561111396 0,586161519 0,546039911 8,330056623 7,6 8,607725177 7,8 16,02135507 45 10 15,67080298
"Evento 25" 56,6443850520001 250 13,59465241248 399,15 21,3724137931034 53,6 245 13,1265306122449 91,6666666666667 70,4 0,393191023 0,528332284 0,564923474 0,587371483 0,54718213 58,31039638 55 66,640453 62,6 98,17500903 155 170 14,58867364
"Evento 26" 2,6 70 2,22857142857143 10,4166666666667 8 2,6 70 2,22857142857143 10,4166666666667 8 0,388484066 0,518817373 0,552534196 0,578901695 0,531190899 0,277668554 4,4 0,277668554 4,4 13,35270541 0 70 12,52651709
"Evento 27" 28,8 245 7,0530612244898 95,3125 7,53488372093023 28,8 245 7,0530612244898 95,3125 7,53488372093023 0,386130587 0,520720335 0,553487207 0,580111658 0,532333159 0 34,4 0 38 42,49493414 0 195 11,73557842
"Evento 28" 10 335 1,7910447761194 9,375 1,7910447761194 10 335 1,7910447761194 9,375 1,7910447761194 0,417902558 0,541653119 0,576359707 0,60310118 0,556319964 0 11,8 0 46,2 14,51628153 0 280 11,72836077
"Evento 29" 24 155 9,29032258064516 87,5 9,29032258064516 24 155 9,29032258064516 87,5 9,29032258064516 0,401428208 0,542604634 0,574453651 0,593421386 0,548324349 0 26,8 0 43,8 39,52057334 0 60 11,93872302
"Evento 30" 4,4 35 7,54285714285714 23,4375 5,6 4,4 35 7,54285714285714 23,4375 5,6 0,404958416 0,534992685 0,571594585 0,593421386 0,550608828 0 10,6 0 10,6 15,54845193 0 35 12,73464186
"Evento 31" 40 285 8,42105263157895 103,125 12 40 285 8,42105263157895 103,125 12 0,395544502 0,526429288 0,563970429 0,593421386 0,543755432 0 40 0 42,6 85,4136301 0 240 11,88394218
"Evento 32" 7,2 35 12,3428571428571 43,75 17,28 7,2 35 12,3428571428571 43,75 17,28 0,39789798 0,528332284 0,564923474 0,593421386 0,546039911 0 17,4 0 17,4 21,8060595 0 60 14,99137199
"Evento 33" 12 70 10,2857142857143 45,8333333333333 11,0769230769231 12 70 10,2857142857143 45,8333333333333 11,0769230769231 0,407311895 0,539750157 0,576359707 0,593421386 0,551751047 0 13 0 30,4 37,98597122 0 60 15,72364296
"Evento 34" 10,2 95 6,44210526315789 19,7916666666667 6,44210526315789 10,2 95 6,44210526315789 19,7916666666667 6,44210526315789 0,407311895 0,532138242 0,570641574 0,593421386 0,551751047 0 22,2 0 35,2 22,39237374 0 120 15,77923532
"Evento 35" 3,4 65 3,13846153846154 7,29166666666667 3,13846153846154 3,4 65 3,13846153846154 7,29166666666667 3,13846153846154 0,407311895 0,543556115 0,569688563 0,593421386 0,557462184 0 22,2 0 35,2 21,27538181 0 70 19,29835502
"Evento 36" 2,8 65 2,58461538461538 6,25 2,58461538461538 2,8 65 2,58461538461538 6,25 2,58461538461538 0,43320018 0,546410591 0,580171785 0,593421386 0,56317336 0 8,2 0 30,4 20,79397445 0 80 18,78527424
"Evento 37" 2,6 35 4,45714285714286 6,875 1,85714285714286 2,6 35 4,45714285714286 6,875 1,85714285714286 0,367302738 0,5073995 0,537285885 0,561962034 0,522053065 0,277668554 14,4 0,277668554 14,6 13,97180124 40 50 13,2536493
"Evento 38" 1,8 95 1,13684210526316 3,125 1,13684210526316 1,8 95 1,13684210526316 3,125 1,13684210526316 0,368479488 0,5073995 0,538238897 0,564381961 0,523195284 0,277668554 14,4 0,277668554 14,6 14,10636772 0 110 13,86045494
"Evento 39" 7 305 1,37704918032787 5,20833333333333 1,37704918032787 7 305 1,37704918032787 5,20833333333333 1,37704918032787 0,368479488 0,5073995 0,538238897 0,566801931 0,524337544 0,277668554 14,4 0,277668554 14,6 15,51404041 0 325 14,04323686
"Evento 40" 3,6 125 1,728 0,260416666666667 1,728 3,6 125 1,728 0,260416666666667 1,728 0,369656217 0,511205457 0,540144952 0,566801931 0,524337544 0,277668554 14,4 0,277668554 14,6 16,40459871 0 95 15,40723332
"Evento 41" 3 95 1,89473684210526 10,4166666666667 1,89473684210526 3 95 1,89473684210526 10,4166666666667 1,89473684210526 0,369656217 0,515011415 0,540144952 0,566801931 0,527764202 0 12 0,277668554 26,4 16,87662955 0 95 15,65864693
"Evento 42" 3,6 245 0,881632653061225 3,125 0,881632653061225 3,6 245 0,881632653061225 3,125 0,881632653061225 0,373186445 0,518817373 0,54967513 0,571641828 0,528906461 0 12 0,277668554 26,4 14,54060685 0 250 13,92192009
"Evento 43" 5,4 395 0,820253164556962 4,16666666666667 0,820253164556963 5,4 395 0,820253164556962 4,16666666666667 0,820253164556963 0,382600359 0,520720335 0,559205341 0,584951555 0,542613213 0 4,2 0 5,2 12,80099282 0 405 11,56647251
"Evento 44" 14,6 155 5,65161290322581 18,75 6,816 14,6 155 5,65161290322581 18,75 6,816 0,379070131 0,516914377 0,555393263 0,581321622 0,541470993 0,277668554 32,6 1,38834277 32,6 16,6138229 0 160 10,84959039
"Evento 45" 2,4 35 4,11428571428571 3,64583333333333 4,11428571428571 2,4 35 4,11428571428571 3,64583333333333 4,11428571428571 0,382600359 0,523574812 0,553487207 0,578901695 0,549466609 0,277668554 32,6 1,38834277 32,6 17,37921017 0 55 13,10466485
"Evento 46" 6 155 2,32258064516129 3,64583333333333 2,32258064516129 6 155 2,32258064516129 3,64583333333333 2,32258064516129 0,38142363 0,528332284 0,557299285 0,581321622 0,54718213 0,277668554 32,6 1,38834277 32,6 17,14006031 0 180 14,23190353
"Evento 47" 2,4 70 2,05714285714286 3,64583333333333 2,05714285714286 2,4 70 2,05714285714286 3,64583333333333 2,05714285714286 0,383777109 0,534041204 0,561111396 0,580111658 0,549466609 0,277668554 32,6 1,38834277 32,6 17,40569784 0 75 12,12428805
"Evento 48" 2,6 95 1,64210526315789 2,60416666666667 1,64210526315789 2,6 95 1,64210526315789 2,60416666666667 1,64210526315789 0,383777109 0,535944199 0,564923474 0,582531586 0,550608828 0,277668554 32,6 1,38834277 32,6 17,43544923 0 95 12,08029043
"Evento 49" 13,328090599 55 14,5397351989091 173,542846375 14,5397351989091 11,8 35 20,2285714285714 50 20,2285714285714 0,370832966 0,51310842 0,545863052 0,571641828 0,533475378 14,99410192 12,6 15,27177048 12,8 16,85547075 55 35 11,51971275
"Evento 50" 7,497050963 80 5,62278822225 86,7714231875 10,6 7 95 4,42105263157895 11,4583325 4,42105263157895 0,372009695 0,520720335 0,545863052 0,574061755 0,538044295 14,99410192 12,6 15,27177048 12,8 17,47582647 85 95 10,69411833
"Evento 51" 4,442696864 250 1,06624724736 17,354284625 3,32 3,8 245 0,930612244897959 2,083325 0,930612244897959 0,369656217 0,512156939 0,54395703 0,568011894 0,528906461 6,94171385 5,6 7,219382404 5,8 12,98701156 265 275 9,522654569
"Evento 52" 4,720365418 235 1,20519968119149 17,354284625 3,3 3,8 245 0,930612244897959 4,16666666666667 3,96 0,369656217 0,514059934 0,545863052 0,571641828 0,528906461 10,2737365 7,8 17,21545035 13,4 11,19967767 270 260 9,240908808
"Evento 53" 10,829073606 680 0,955506494647059 6,66431186847474 6,664045296 7,6 665 0,685714285714286 1,5625 2,4 0,364949259 0,505496504 0,536332874 0,564381961 0,525479763 11,66207927 8,4 13,05042204 9,4 9,317716478 690 700 7,348779389
"Evento 54" 8,885393728 400 1,3328090592 6,66431186847474 4,1664 6,4 365 1,05205479452055 15,6375 2,45538461538462 0,364949259 0,501690547 0,531567752 0,56075207 0,524337544 5,275702526 3,8 5,275702526 3,8 9,655011499 400 380 7,296483692
"Evento 55" 4,998033973 235 1,27609378034043 13,32862374895 6,664 3,2 185 1,03783783783784 2,6041665 1,84615384615385 0,364949259 0,505496504 0,532520797 0,561962034 0,525479763 12,77275349 9,2 18,04845601 13 11,02182754 255 245 8,197905812
"Evento 56" 1,666011324 50 1,9992135888 3,33215593423737 3,3332 1,358834277 55 1,48236466581818 0,783303898355933 3,30321559342373 0,367302738 0,503593542 0,534426819 0,561962034 0,526621982 2,499016986 0 2,499016986 0 7,335761171 55 60 6,643778472
"Evento 57" 2,221348432 80 1,666011324 3,33215593423737 3,332 1,8 65 1,66153846153846 2,0833325 1,66153846153846 0,349651638 0,398929622 0,452467098 0,477263771 0,476363853 2,221348432 1,8 2,221348432 1,8 9,613636618 120 125 6,022440052
"Evento 58" 3,054354094 140 1,30900889742857 3,33215593423737 3,33 2,054354094 145 0,850077556137931 1,04166666666667 2,4 0,353181867 0,376093876 0,441030865 0,455484213 0,469510497 0,555337108 0,2 0,555337108 0,2 8,294759669 145 150 6,370114881
"Evento 59" 4,16502831 155 1,61226902322581 3,33215593423737 3,33 2,6 125 1,248 2,60416666666667 1,84615384615385 0,353181867 0,377996838 0,442936887 0,455484213 0,469510497 11,10674216 5,2 11,66207927 5,4 9,791698482 170 150 6,918541751
"Evento 60" 2,77668554 120 1,38834277 3,33215593423737 3,33 2 125 0,96 2,08333333333333 1,47692307692308 0,353181867 0,380851314 0,444842943 0,454274249 0,468368277 1,38834277 1,2 1,38834277 1,2 8,2135546 160 160 6,705219521
"Evento 61" 3,054354094 90 2,03623606266667 6,66431186847474 4,17 1 35 1,71428571428571 2,0833325 3,2 0,348474909 0,358015568 0,441030865 0,416765015 0,437528036 7,774719512 4,4 7,774719512 4,4 8,399358544 105 55 6,122311173
"Evento 62" 3,332022648 150 1,3328090592 3,33215593423737 3,3 2,4 140 1,02857142857143 1,5625 1,26315789473684 0,350828388 0,358015568 0,441030865 0,416765015 0,437528036 7,774719512 4,4 7,774719512 4,4 8,452611011 170 170 6,814529664
"Evento 63" 2,77668554 80 2,082514155 3,33215593423737 4,17 2,4543345 70 2,10371528571429 1,04166666666667 2,34 0,377893402 0,347549176 0,446748965 0,390145581 0,407830054 4,16502831 1 4,16502831 1 9,644590849 85 85 5,980916991
"Evento 64" 3,332022648 105 1,90401294171429 3,33215593423737 3,333 0,6 95 0,378947368421053 1,04166666666667 1,2 0,357888824 0,335179789 0,446748965 0,37320592 0,376989852 13,32809059 7,4 14,71643336 8,4 10,2313166 110 110 6,19371742
"Evento 65" 6,386376744 125 3,06546083712 9,999 5,92533333333333 5 125 2,4 7,29166666666667 4,09846153846154 0,360242302 0,334228307 0,449608031 0,368366023 0,373563174 6,941713852 5,4 6,941713852 5,4 10,30922216 140 140 7,328309279
"Evento 66" 13,883427703 215 3,87444494037209 13,32862374895 6,66533333333333 9,2 110 5,01818181818182 7,29165 5,01818181818182 0,369656217 0,326616392 0,437218787 0,35626628 0,34843411 15,82710758 11,4 15,82710758 11,4 10,93498107 215 120 5,772771628
"Evento 67" 3,609691202 105 2,06268068685714 6,66431186847474 5,3328 2 35 3,42857142857143 5,208325 5,4 0,354358596 0,349452138 0,444842943 0,353846332 0,350718568 8,052388066 5,4 8,052388066 5,4 8,350460745 125 100 6,546477859
"Evento 68" 4,442696867 55 4,84657840036364 9,99646781471259 5,999976 4,2 80 3,15 8,333325 4,8 0,357888824 0,341840223 0,441983876 0,351426383 0,34843411 4,442696867 4,2 5,831039637 5 8,605590304 90 90 6,666786452
"Evento 69" 3,887359757 85 2,744018652 13,32862374895 6,66666 3,4 85 2,4 8,33333333333333 6,6 0,360242302 0,338034265 0,441983876 0,344166516 0,34843411 5,553371081 4,6 9,996067948 8,8 9,503895607 90 90 7,207175925
"Evento 70" 3,054354094 90 2,03623606266667 3,33215593423737 3,333 2,2 60 2,2 6,25 4,8 0,350828388 0,329070867 0,428641587 0,341746568 0,327873962 5,842696864 0 8,442696864 0,2 9,485824292 90 90 5,835512045
"Evento 71" 2,743679878 75 2,1949439024 4,80019200768031 3,3332 1,2 50 1,44 3,125 3,2 0,355535345 0,3309070867 0,430547643 0,339326619 0,327873962 2,743679878 0 8,242696864 0 8,036534404 75 75 7,323060149
"Evento 72" 15,549439034 70 13,3280906005714 36,653715300612 13,3280906005714 13,6 80 10,2 21,8875 15,6 0,349651638 0,3250233797 0,425782554 0,332066774 0,318736127 26,6561812 21,4 26,6561812 21,4 13,5563518 90 85 6,976503962
"Evento 73" 21,102810114 160 7,91355379275 39,9858712348494 10,6285714285714 20,547473006 145 8,50240262317242 17,3542846354167 11,8356428571428 0,348474909 0,3350233797 0,471527487 0,344166516 0,323305045 44,1493001 0 50,19199697 0 17,1018632 135 135 7,152039824
"Evento 74" 6,664045299 85 4,70403197576471 9,99646781471259 6,1 6,664045299 85 4,70403197576471 7,29165 6,1 0,348474909 0,3350233797 0,471527487 0,344166516 0,323305045 44,1493001 0 50,19199697 0 12,97712607 85 85 7,322198481
"Evento 75" 9,996067951 85 7,05604796541176 26,6572474978999 14,16 11,16 21 31,8857142857143 35,7291666666667 10,0707692307692 0,336707496 0,3450233797 0,479151675 0,394985478 0,353003027 10,55140506 11,66 10,55140506 11,66 7,299026654 95 90 7,232244401
"Evento 76" 42,774271807 215 11,9370060856744 36,653715300612 12,5156756756757 33,28 210 9,50857142857143 22,5 10,621935483871 0,348474909 0,3450233797 0,470574476 0,381675751 0,351860808 51,88199698 40,1 54,35966554 40,6 24,82549506 205 205 
"Evento 77" 7,497050958 210 2,14201455942857 6,66431186847474 4,998 6,32 230 1,64869565217391 7,91665 1,78235294117647 0,34729816 0,511205457 0,54967513 0,488153529 0,375847633 25,82317552 21,96 46,09297997 38,4 9,248217675 245 245 7,063672538
"Evento 78" 15,827107586 110 8,63296777418182 59,9788068642746 12,3333333333333 6,34 95 4,00421052631579 14,53 7,62 0,355535345 0,495030112 0,528708686 0,51598299 0,412398971 31,37654662 29,94 34,15323216 32,96 15,65239517 110 105 7,225944774
"Evento 79" 12,495084936 115 6,51917474921739 23,3250915516621 10,55 9,294719516 110 5,06984700872727 8,675 13,23 0,359065553 0,54002604634 0,563970429 0,551072233 0,419252367 31,37654662 29,94 34,15323216 32,96 15,42435405 130 115 7,243142106
"Evento 80" 7,497050961 75 5,9976407688 16,6607796831873 6,6564 2,54 35 4,35428571428571 6,6125 4,35428571428571 0,373186445 0,518817373 0,552534196 0,557122137 0,490070644 41,65028311 33,75 73,02682973 63,69 12,14664569 95 40 7,285049227
"Evento 81" 18,32612457 260 4,22910567 13,32862374895 16,8942857142857 8,63 230 2,25130434782609 5,3125 6,17513513513513 0,379070131 0,542604634 0,572547629 0,571641828 0,498066259 41,65028311 33,75 73,02682973 63,69 17,25165192 260 240 7,771349192
"Evento 82" 1,943679878 50 2,3324158536 6,66431186847474 4,44 1,4 20 4,2 1,041665 2,4 0,392014273 0,490272673 0,516319441 0,525662784 0,506061835 4,16502831 2,4 13,05042204 8,6 12,4456119 50 30 6,699228644
"Evento 83" 3,887359758 60 3,887359758 9,99646781471259 5,71371428571429 2,6 40 3,9 6,25 4,11428571428571 0,393191023 0,484534590272673 0,503930164 0,51356302 0,499208479 4,165028312 2,6 4,165028312 2,6 11,38161121 80 50 6,601073626
"Evento 84" 5,55337108 110 3,02911149818182 6,66431186847474 4,575 3 125 1,44 4,16665 2,05714285714286 0,392014273 0,474534590272673 0,495352997 0,506303196 0,496924 6,94171385 3,6 6,94171385 3,6 9,11230261 140 140 6,393097778
"Evento 85" 9,440730841 60 9,440730841 23,3250915516621 1,07733333333333 5,4 50 6,48 15,625 8,91428571428571 0,39907473 0,505496504 0,539191908 0,532922609 0,500350698 17,77078746 10,6 31,93188372 20,2 15,19918457 60 60 6,639239162
"Evento 86" 66,640453005 265 15,0884044539623 39,9858712348494 16,3125 51,8 255 12,1882352941176 37,5 12,2086956521739 0,409665373 0,49505496504 0,542050974 0,551072233 0,512915231 70,52781276 53 70,52781276 53 66,80686436 265 265 6,701602345
"Evento 87" 7,497050963 20 22,491152889 49,982339049562 22,491152889 6,4 20 19,2 31,25 19,2 0,442614094 0,505496504 0,557299285 0,574061755 0,54718213 11,93974783 9,8 11,93974783 9,8 14,88232587 70 75 8,793069599
"Evento 88" 4,442696866 55 4,84657839927273 16,6607796831873 7,78 3,2 50 3,84 9,375 5,14285714285714 0,455558236 0,510253976 0,563017418 0,581321622 0,549466609 11,93974783 9,8 11,93974783 9,8 9,751316821 60 60 8,165209432
"Evento 89" 12,217416383 105 6,98138079028571 9,99646781471259 13,0145454545455 9,2 110 5,01818181818182 10,4166666666667 6,3 0,440260615 0,515011415 0,567782507 0,586161519 0,551751047 40,5396089 26,4 52,47935673 36,2 14,60524447 120 125 6,904474126
"Evento 90" 12,772753491 110 6,96695644963636 19,9929356174247 8,6 7,8 110 4,25454545454546 11,45833325 4,56 0,469679129 0,525477807 0,580171785 0,597051319 0,56431558 40,5396089 26,4 52,47935673 36,2 16,3019551 115 110 10,09070709
"Evento 91" 10,273736499 110 5,60385627218182 9,99646781471259 5,60385627218182 6,2 110 3,38181818181818 6,25 3,78947368421053 0,476739564 0,547362072 0,594467084 0,60310118 0,570026716 26,93384974 16,6 67,47345864 43 15,48307919 115 115 13,94268466
"Evento 92" 1,38834277 45 1,85112369333333 3,33215593423737 3,33 1 50 1,2 2,083325 2,4 0,480269772 0,542604634 0,591608018 0,60310118 0,572311195 26,93384974 16,6 67,47345864 43 17,33028547 50 45 12,33613806
"Evento 93" 3,609691202 65 3,332022648 6,66431186847474 5,3328 2,2 65 2,03076923076923 4,16666666666667 4,2 0,456734986 0,51310842 0,566829496 0,586161519 0,556319964 5,275702526 3,2 6,664045296 4,2 12,37105075 75 75 11,05883739
"Evento 94" 22,49115289 60 22,49115289 39,9858712348494 22,49115289 12,8 50 15,36 27,0833325 21,2571428571429 0,43320018 0,505496504 0,553487207 0,571641828 0,544897651 47,20365421 30 47,48132276 30,4 25,99094259 60 60 12,43029752
"Evento 95" 13,328090599 85 9,40806395223529 69,9752746669867 14,8 11,8 95 7,45263157894737 35,4166666666667 16,1142857142857 0,472032607 0,515011415 0,566829496 0,586161519 0,559746662 15,54943903 13,4 62,75309324 43,4 20,11908045 75 95 14,40816644
"Evento 96" 13,050422047 30 26,100844094 59,9788068642746 26,100844094 11,6 30 23,2 44,791665 34,8 0,406135166 0,488369678 0,530614741 0,541392439 0,519768626 13,05042205 11,6 13,05042205 11,6 16,96690461 45 45 13,82194255
"Evento 97" 16,937781804 125 8,13013526592 16,6607796831873 12,324 10,6 120 5,3 11,45833325 5,3 0,407311895 0,495981627 0,546816096 0,553492203 0,524337544 35,26390638 24,6 48,31432843 36,2 20,23156483 130 130 13,39366436
"Evento 98" 6,664045301 45 8,88539373466667 19,9929356174247 10,4571428571429 4,6 40 6,9 11,45833325 6,9 0,41554908 0,537847161 0,578265729 0,563171997 0,528906461 35,26390638 24,6 48,31432843 36,2 17,91145021 50 50 15,41024085
"Evento 99" 2,499016986 35 4,28402911885714 6,66431186847474 5,83362 1,6 35 2,74285714285714 5,20833333333333 4,2 0,488506957 0,524526326 0,575406696 0,593421386 0,556319964 6,386376743 4,6 41,65028312 29,2 14,09999449 50 50 12,74408915
"Evento 100" 34,430900719 50 41,3170808628 89,9682102844114 41,3170808628 30 50 36 77,083325 36 0,457911715 0,509302462 0,557299285 0,574061755 0,54718213 41,37261457 36,4 41,37261457 36,4 63,26554536 55 50 12,81852071
"Evento 101" 105,514050577 735 8,61339188383675 59,9788068642746 8,61339188383675 78,8 735 6,43265306122449 51,0416666666667 6,43265306122449 0,460265194 0,518817373 0,570641574 0,588581489 0,56317336 34,43090071 27,8 75,80351528 64,2 63,93636526 735 735 11,74013911
"Evento 102" 8,330056627 40 12,4950849405 26,6572474978999 20,82 5,2 35 8,91428571428571 18,75 14,4 0,475562815 0,530235246 0,579218774 0,595841313 0,570026716 8,607725181 5,4 91,35295432 63 45,55740959 50 45 42,22192362
"Evento 103" 18,326124575 105 10,4720711857143 26,6572474978999 18,1810909090909 15,8 95 9,97894736842105 30,2083333333333 24,6857142857143 0,424962994 0,509302462 0,555393263 0,571641828 0,54718213 20,26980445 18,4 20,54747301 18,4 33,49876849 105 105 20,80334305
"Evento 104" 18,603793132 75 14,8830345056 53,3144949837994 23,3241333333333 15,2 65 14,0307692307692 39,5833325 18 0,427316473 0,537847161 0,572547629 0,576481725 0,551751047 34,15323216 31 54,42303661 49,4 49,01157568 75 75 23,77092692
"Evento 105" 34,708569272 170 12,2500832724706 86,636054350174 37,7626666666667 27 160 10,125 71,875 22,1538461538462 0,419079308 0,509302462 0,553487207 0,571641828 0,54718213 30,54354096 17 30,54354096 17,2 82,31805296 170 170 18,55571525
"Evento 106" 4,720365421 15 18,881461684 39,9858712348494 18,881461684 4 10 24 20,8333325 24 0,404958416 0,503593542 0,545863052 0,561962034 0,538044295 36,92991771 31,4 36,92991771 31,4 17,40277916 30 25 16,22316656
"Evento 107" 26,37851265 50 31,65421518 53,3144949837994 31,644 21,8 35 37,3714285714286 58,3333333333333 37,3714285714286 0,404958416 0,503593542 0,545863052 0,563171997 0,538044295 36,92991771 31,4 36,92991771 31,4 51,37703169 50 40 14,58154594
"Evento 108" 5,553371083 15 22,213484332 39,9858712348494 22,213484332 4,8 20 14,4 23,9583333333333 55,2 0,434376929 0,524526326 0,574453651 0,591001416 0,560888882 37,20758626 33,6 74,13750397 65 23,38058839 45 40 18,3549767
