Evento C1 Duración_(min)_pl "Intensidad_media pl" Intensidad_máxima_pl Intensidad_continuap_pl C_(mm_est Duración_(min)_esta Intensidad_media_est Intensidad_máxima_est Intensidad_continua_est "Lluvia antecedent_24 horas_pluv" "Lluvia antecedent_24_horas_esta" "Lluvia antecedent_48_horas_pluv" Lluvia_antecedent_48_horas_est Qmax Trespuesta_(min)_plub Trespuesta_est Q_inicial
"Evento 40" 3,6 125 1,728 0,260416666666667 1,728 3,6 125 1,728 0,260416666666667 1,728 0,277668554 14,4 0,277668554 14,6 16,40459871 0 95 15,40723332
"Evento 41" 3 95 1,89473684210526 10,4166666666667 1,89473684210526 3 95 1,89473684210526 10,4166666666667 1,89473684210526 0 12 0,277668554 26,4 16,87662955 0 95 15,65864693
"Evento 42" 3,6 245 0,881632653061225 3,125 0,881632653061225 3,6 245 0,881632653061225 3,125 0,881632653061225 0 12 0,277668554 26,4 14,54060685 0 250 13,92192009
"Evento 43" 5,4 395 0,820253164556962 4,16666666666667 0,820253164556963 5,4 395 0,820253164556962 4,16666666666667 0,820253164556963 0 4,2 0 5,2 12,80099282 0 405 11,56647251
"Evento 44" 14,6 155 5,65161290322581 18,75 6,816 14,6 155 5,65161290322581 18,75 6,816 0,277668554 32,6 1,38834277 32,6 16,6138229 0 160 10,84959039
"Evento 45" 2,4 35 4,11428571428571 3,64583333333333 4,11428571428571 2,4 35 4,11428571428571 3,64583333333333 4,11428571428571 0,277668554 32,6 1,38834277 32,6 17,37921017 0 55 13,10466485
"Evento 46" 6 155 2,32258064516129 3,64583333333333 2,32258064516129 6 155 2,32258064516129 3,64583333333333 2,32258064516129 0,277668554 32,6 1,38834277 32,6 17,14006031 0 180 14,23190353
"Evento 47" 2,4 70 2,05714285714286 3,64583333333333 2,05714285714286 2,4 70 2,05714285714286 3,64583333333333 2,05714285714286 0,277668554 32,6 1,38834277 32,6 17,40569784 0 75 12,12428805
"Evento 48" 2,6 95 1,64210526315789 2,60416666666667 1,64210526315789 2,6 95 1,64210526315789 2,60416666666667 1,64210526315789 0,277668554 32,6 1,38834277 32,6 17,43544923 0 95 12,08029043
"Evento 49" 13,328090599 55 14,5397351989091 173,542846375 14,5397351989091 11,8 35 20,2285714285714 50 20,2285714285714 14,99410192 12,6 15,27177048 12,8 16,85547075 55 35 11,51971275
"Evento 50" 7,497050963 80 5,62278822225 86,7714231875 10,6 7 95 4,42105263157895 11,4583325 4,42105263157895 14,99410192 12,6 15,27177048 12,8 17,47582647 85 95 10,69411833
"Evento 51" 4,442696864 250 1,06624724736 17,354284625 3,32 3,8 245 0,930612244897959 2,083325 0,930612244897959 6,94171385 5,6 7,219382404 5,8 12,98701156 265 275 9,522654569
"Evento 52" 4,720365418 235 1,20519968119149 17,354284625 3,3 3,8 245 0,930612244897959 4,16666666666667 3,96 10,2737365 7,8 17,21545035 13,4 11,19967767 270 260 9,240908808
"Evento 53" 10,829073606 680 0,955506494647059 6,66431186847474 6,664045296 7,6 665 0,685714285714286 1,5625 2,4 11,66207927 8,4 13,05042204 9,4 9,317716478 690 700 7,348779389
"Evento 54" 8,885393728 400 1,3328090592 6,66431186847474 4,1664 6,4 365 1,05205479452055 15,6375 2,45538461538462 5,275702526 3,8 5,275702526 3,8 9,655011499 400 380 7,296483692
"Evento 55" 4,998033973 235 1,27609378034043 13,32862374895 6,664 3,2 185 1,03783783783784 2,6041665 1,84615384615385 12,77275349 9,2 18,04845601 13 11,02182754 255 245 8,197905812
"Evento 56" 1,666011324 50 1,9992135888 3,33215593423737 3,3332 1,358834277 55 1,48236466581818 0,783303898355933 3,30321559342373 2,499016986 0 2,499016986 0 7,335761171 55 60 6,643778472
"Evento 57" 2,221348432 80 1,666011324 3,33215593423737 3,332 1,8 65 1,66153846153846 2,0833325 1,66153846153846 2,221348432 1,8 2,221348432 1,8 9,613636618 120 125 6,022440052
"Evento 58" 3,054354094 140 1,30900889742857 3,33215593423737 3,33 2,054354094 145 0,850077556137931 1,04166666666667 2,4 0,555337108 0,2 0,555337108 0,2 8,294759669 145 150 6,370114881
"Evento 59" 4,16502831 155 1,61226902322581 3,33215593423737 3,33 2,6 125 1,248 2,60416666666667 1,84615384615385 11,10674216 5,2 11,66207927 5,4 9,791698482 170 150 6,918541751
"Evento 60" 2,77668554 120 1,38834277 3,33215593423737 3,33 2 125 0,96 2,08333333333333 1,47692307692308 1,38834277 1,2 1,38834277 1,2 8,2135546 160 160 6,705219521
"Evento 61" 3,054354094 90 2,03623606266667 6,66431186847474 4,17 1 35 1,71428571428571 2,0833325 3,2 7,774719512 4,4 7,774719512 4,4 8,399358544 105 55 6,122311173
"Evento 62" 3,332022648 150 1,3328090592 3,33215593423737 3,3 2,4 140 1,02857142857143 1,5625 1,26315789473684 7,774719512 4,4 7,774719512 4,4 8,452611011 170 170 6,814529664
"Evento 63" 2,77668554 80 2,082514155 3,33215593423737 4,17 2,4543345 70 2,10371528571429 1,04166666666667 2,34 4,16502831 1 4,16502831 1 9,644590849 85 85 5,980916991
"Evento 64" 3,332022648 105 1,90401294171429 3,33215593423737 3,333 0,6 95 0,378947368421053 1,04166666666667 1,2 13,32809059 7,4 14,71643336 8,4 10,2313166 110 110 6,19371742
"Evento 65" 6,386376744 125 3,06546083712 9,999 5,92533333333333 5 125 2,4 7,29166666666667 4,09846153846154 6,941713852 5,4 6,941713852 5,4 10,30922216 140 140 7,328309279
"Evento 66" 13,883427703 215 3,87444494037209 13,32862374895 6,66533333333333 9,2 110 5,01818181818182 7,29165 5,01818181818182 15,82710758 11,4 15,82710758 11,4 10,93498107 215 120 5,772771628
"Evento 67" 3,609691202 105 2,06268068685714 6,66431186847474 5,3328 2 35 3,42857142857143 5,208325 5,4 8,052388066 5,4 8,052388066 5,4 8,350460745 125 100 6,546477859
"Evento 68" 4,442696867 55 4,84657840036364 9,99646781471259 5,999976 4,2 80 3,15 8,333325 4,8 4,442696867 4,2 5,831039637 5 8,605590304 90 90 6,666786452
"Evento 69" 3,887359757 85 2,744018652 13,32862374895 6,66666 3,4 85 2,4 8,33333333333333 6,6 5,553371081 4,6 9,996067948 8,8 9,503895607 90 90 7,207175925
"Evento 70" 3,054354094 90 2,03623606266667 3,33215593423737 3,333 2,2 60 2,2 6,25 4,8 5,842696864 0 8,442696864 0,2 9,485824292 90 90 5,835512045
"Evento 71" 2,743679878 75 2,1949439024 4,80019200768031 3,3332 1,2 50 1,44 3,125 3,2 2,743679878 0 8,242696864 0 8,036534404 75 75 7,323060149
"Evento 72" 15,549439034 70 13,3280906005714 36,653715300612 13,3280906005714 13,6 80 10,2 21,8875 15,6 26,6561812 21,4 26,6561812 21,4 13,5563518 90 85 6,976503962
"Evento 73" 21,102810114 160 7,91355379275 39,9858712348494 10,6285714285714 20,547473006 145 8,50240262317242 17,3542846354167 11,8356428571428 44,1493001 0 50,19199697 0 17,1018632 135 135 7,152039824
"Evento 74" 6,664045299 85 4,70403197576471 9,99646781471259 6,1 6,664045299 85 4,70403197576471 7,29165 6,1 44,1493001 0 50,19199697 0 12,97712607 85 85 7,322198481
"Evento 75" 9,996067951 85 7,05604796541176 26,6572474978999 14,16 11,16 21 31,8857142857143 35,7291666666667 10,0707692307692 10,55140506 11,66 10,55140506 11,66 7,299026654 95 90 7,232244401
"Evento 76" 42,774271807 215 11,9370060856744 36,653715300612 12,5156756756757 33,28 210 9,50857142857143 22,5 10,621935483871 51,88199698 40,1 54,35966554 40,6 24,82549506 205 205 
"Evento 77" 7,497050958 210 2,14201455942857 6,66431186847474 4,998 6,32 230 1,64869565217391 7,91665 1,78235294117647 25,82317552 21,96 46,09297997 38,4 9,248217675 245 245 7,063672538
"Evento 78" 15,827107586 110 8,63296777418182 59,9788068642746 12,3333333333333 6,34 95 4,00421052631579 14,53 7,62 31,37654662 29,94 34,15323216 32,96 15,65239517 110 105 7,225944774
"Evento 79" 12,495084936 115 6,51917474921739 23,3250915516621 10,55 9,294719516 110 5,06984700872727 8,675 13,23 31,37654662 29,94 34,15323216 32,96 15,42435405 130 115 7,243142106
"Evento 80" 7,497050961 75 5,9976407688 16,6607796831873 6,6564 2,54 35 4,35428571428571 6,6125 4,35428571428571 41,65028311 33,75 73,02682973 63,69 12,14664569 95 40 7,285049227
"Evento 81" 18,32612457 260 4,22910567 13,32862374895 16,8942857142857 8,63 230 2,25130434782609 5,3125 6,17513513513513 41,65028311 33,75 73,02682973 63,69 17,25165192 260 240 7,771349192
"Evento 82" 1,943679878 50 2,3324158536 6,66431186847474 4,44 1,4 20 4,2 1,041665 2,4 4,16502831 2,4 13,05042204 8,6 12,4456119 50 30 6,699228644
"Evento 83" 3,887359758 60 3,887359758 9,99646781471259 5,71371428571429 2,6 40 3,9 6,25 4,11428571428571 4,165028312 2,6 4,165028312 2,6 11,38161121 80 50 6,601073626
"Evento 84" 5,55337108 110 3,02911149818182 6,66431186847474 4,575 3 125 1,44 4,16665 2,05714285714286 6,94171385 3,6 6,94171385 3,6 9,11230261 140 140 6,393097778
"Evento 85" 9,440730841 60 9,440730841 23,3250915516621 1,07733333333333 5,4 50 6,48 15,625 8,91428571428571 17,77078746 10,6 31,93188372 20,2 15,19918457 60 60 6,639239162
"Evento 86" 66,640453005 265 15,0884044539623 39,9858712348494 16,3125 51,8 255 12,1882352941176 37,5 12,2086956521739 70,52781276 53 70,52781276 53 66,80686436 265 265 6,701602345
"Evento 87" 7,497050963 20 22,491152889 49,982339049562 22,491152889 6,4 20 19,2 31,25 19,2 11,93974783 9,8 11,93974783 9,8 14,88232587 70 75 8,793069599
"Evento 88" 4,442696866 55 4,84657839927273 16,6607796831873 7,78 3,2 50 3,84 9,375 5,14285714285714 11,93974783 9,8 11,93974783 9,8 9,751316821 60 60 8,165209432
"Evento 89" 12,217416383 105 6,98138079028571 9,99646781471259 13,0145454545455 9,2 110 5,01818181818182 10,4166666666667 6,3 40,5396089 26,4 52,47935673 36,2 14,60524447 120 125 6,904474126
"Evento 90" 12,772753491 110 6,96695644963636 19,9929356174247 8,6 7,8 110 4,25454545454546 11,45833325 4,56 40,5396089 26,4 52,47935673 36,2 16,3019551 115 110 10,09070709
"Evento 91" 10,273736499 110 5,60385627218182 9,99646781471259 5,60385627218182 6,2 110 3,38181818181818 6,25 3,78947368421053 26,93384974 16,6 67,47345864 43 15,48307919 115 115 13,94268466
"Evento 92" 1,38834277 45 1,85112369333333 3,33215593423737 3,33 1 50 1,2 2,083325 2,4 26,93384974 16,6 67,47345864 43 17,33028547 50 45 12,33613806
"Evento 93" 3,609691202 65 3,332022648 6,66431186847474 5,3328 2,2 65 2,03076923076923 4,16666666666667 4,2 5,275702526 3,2 6,664045296 4,2 12,37105075 75 75 11,05883739
"Evento 94" 22,49115289 60 22,49115289 39,9858712348494 22,49115289 12,8 50 15,36 27,0833325 21,2571428571429 47,20365421 30 47,48132276 30,4 25,99094259 60 60 12,43029752
"Evento 95" 13,328090599 85 9,40806395223529 69,9752746669867 14,8 11,8 95 7,45263157894737 35,4166666666667 16,1142857142857 15,54943903 13,4 62,75309324 43,4 20,11908045 75 95 14,40816644
"Evento 96" 13,050422047 30 26,100844094 59,9788068642746 26,100844094 11,6 30 23,2 44,791665 34,8 13,05042205 11,6 13,05042205 11,6 16,96690461 45 45 13,82194255
"Evento 97" 16,937781804 125 8,13013526592 16,6607796831873 12,324 10,6 120 5,3 11,45833325 5,3 35,26390638 24,6 48,31432843 36,2 20,23156483 130 130 13,39366436
"Evento 98" 6,664045301 45 8,88539373466667 19,9929356174247 10,4571428571429 4,6 40 6,9 11,45833325 6,9 35,26390638 24,6 48,31432843 36,2 17,91145021 50 50 15,41024085
"Evento 99" 2,499016986 35 4,28402911885714 6,66431186847474 5,83362 1,6 35 2,74285714285714 5,20833333333333 4,2 6,386376743 4,6 41,65028312 29,2 14,09999449 50 50 12,74408915
"Evento 100" 34,430900719 50 41,3170808628 89,9682102844114 41,3170808628 30 50 36 77,083325 36 41,37261457 36,4 41,37261457 36,4 63,26554536 55 50 12,81852071
"Evento 101" 105,514050577 735 8,61339188383675 59,9788068642746 8,61339188383675 78,8 735 6,43265306122449 51,0416666666667 6,43265306122449 34,43090071 27,8 75,80351528 64,2 63,93636526 735 735 11,74013911
"Evento 102" 8,330056627 40 12,4950849405 26,6572474978999 20,82 5,2 35 8,91428571428571 18,75 14,4 8,607725181 5,4 91,35295432 63 45,55740959 50 45 42,22192362
"Evento 103" 18,326124575 105 10,4720711857143 26,6572474978999 18,1810909090909 15,8 95 9,97894736842105 30,2083333333333 24,6857142857143 20,26980445 18,4 20,54747301 18,4 33,49876849 105 105 20,80334305
"Evento 104" 18,603793132 75 14,8830345056 53,3144949837994 23,3241333333333 15,2 65 14,0307692307692 39,5833325 18 34,15323216 31 54,42303661 49,4 49,01157568 75 75 23,77092692
"Evento 105" 34,708569272 170 12,2500832724706 86,636054350174 37,7626666666667 27 160 10,125 71,875 22,1538461538462 30,54354096 17 30,54354096 17,2 82,31805296 170 170 18,55571525
"Evento 106" 4,720365421 15 18,881461684 39,9858712348494 18,881461684 4 10 24 20,8333325 24 36,92991771 31,4 36,92991771 31,4 17,40277916 30 25 16,22316656
"Evento 107" 26,37851265 50 31,65421518 53,3144949837994 31,644 21,8 35 37,3714285714286 58,3333333333333 37,3714285714286 36,92991771 31,4 36,92991771 31,4 51,37703169 50 40 14,58154594
"Evento 108" 5,553371083 15 22,213484332 39,9858712348494 22,213484332 4,8 20 14,4 23,9583333333333 55,2 37,20758626 33,6 74,13750397 65 23,38058839 45 40 18,3549767
"Evento 109" 28,877529637 75 23,1020237096 113,293301848074 25,44 25,8 65 23,8153846153846 71,875 23,8153846153846 37,20758626 33,6 74,13750397 65 80,59821274 80 75 19,0320894
"Evento 110" 4,72036542 50 5,664438504 9,99646781471259 5,664438504 3,8 35 6,51428571428571 6,25 5,14285714285714 10,55140506 8,4 11,38441072 9,2 23,57287363 55 55 21,12535016
"Evento 111" 7,219382409 30 14,438764818 29,9894034321373 14,438764818 5,6 20 16,8 15,625 16,8 10,55140506 8,6 10,55140506 8,6 20,01630529 30 30 15,99691143
"Evento 112" 35,541574931 230 9,2717151993913 46,6501831153246 18,5325 27,6 215 7,70232558139535 39,583325 9,01621621621622 88,57626878 69,4 99,12767383 78 53,39776526 230 225 15,07352048
"Evento 113" 2,499016988 20 7,497050964 13,32862374895 7,497050964 1,6 15 6,4 8,33333333333333 6,4 7,774719516 6,2 7,774719516 6,4 23,38141487 20 20 20,823462
"Evento 114" 3,054354096 25 7,3304498304 9,99646781471259 9,163062288 2,2 20 6,6 8,33333333333333 1,28 7,774719516 6,2 7,774719516 6,4 21,68026953 50 50 19,67795525
"Evento 115" 20,547473012 105 11,7414131497143 23,3250915516621 12,7957894736842 15,2 95 9,6 20,8333325 11,25 25,82317554 19,2 25,82317554 19,2 30,64974741 105 100 16,64467063
"Evento 116" 1,110674216 30 2,221348432 3,33215593423737 3,3332 1,2 35 2,05714285714286 3,125 3 49,42500265 38,8 49,42500265 38,8 17,15723417 40 40 16,72563492
"Evento 117" 36,374580601 55 39,6813606556364 66,6431187327493 46,86 30,2 50 36,24 64,5833325 51,0857142857143 49,42500265 38,8 49,42500265 38,8 63,01681227 55 55 11,90706586
"Evento 118" 5,831039639 45 7,77471951866667 16,6607796831873 13,332 3,8 50 4,56 8,3333325 9,6 49,42500265 38,8 49,42500265 38,8 31,28465414 50 50 25,95102677
"Evento 119" 3,609691202 145 1,49366532496552 6,66431186847474 4,17 2 125 0,96 2,0833325 1,71428571428571 25,54550697 15,4 74,97050962 54,2 18,64890233 160 150 17,37710026
"Evento 120" 8,330056625 90 5,55337108333333 19,9929356174247 13,332 6,2 95 3,91578947368421 17,7083333333333 8,22857142857143 25,54550697 15,4 74,97050962 54,2 25,22898525 85 80 18,2749728
"Evento 121" 10,551405058 60 10,551405058 39,9858712348494 12,9466666666667 7,4 65 6,83076923076923 20,8333333333333 19,2 19,43679879 12,4 44,98230576 27,8 31,19322087 60 70 17,26945911
"Evento 122" 6,386376746 40 9,579565119 43,3180271810872 18,88 4 35 6,85714285714286 12,5 6,85714285714286 19,43679879 12,4 44,98230576 27,8 31,89542583 60 55 25,96084962
"Evento 123" 33,59789506 140 14,3990978828571 36,653715300612 14,3990978828571 27,2 135 12,0888888888889 21,333325 12,0888888888889 13,05042205 10,8 13,05042205 10,8 40,55088746 140 140 19,33079943
"Evento 124" 9,718399395 90 6,47893293 9,99646781471259 7,43076923076923 5,2 80 3,9 7,29166666666667 6,17142857142857 82,18989202 54,6 95,24031407 65,4 38,01263125 90 90 33,7154815
"Evento 125" 3,609691204 30 7,219382408 16,6607796831873 9,999 3,6 20 10,8 11,45833325 10,8 4,165028312 4 7,49705096 6,4 22,40876267 30 35 20,64076196
"Evento 126" 2,499016987 35 4,28402912057143 9,99646781471259 4,28402912057143 2,499016987 35 4,28402912057143 4,33857116145833 4,28402912057143 4,442696865 2,8 8,607725177 6,8 22,04731988 30 30 21,56744928
"Evento 127" 2,77668554 35 4,76003235428571 6,66431186847474 4,28571428571429 2,6 20 7,8 12,5 9,6 16,10477614 20,6 18,32612457 22,8 18,02869868 65 65 16,69935447
"Evento 128" 10,55140506 55 11,5106237018182 33,3215593663747 13,6933333333333 10,2 55 11,1272727272727 4,166675 11,1272727272727 16,10477614 20,6 18,32612457 22,8 30,22138677 55 55 16,66696184
"Evento 129" 1,38834277 25 3,332022648 6,66431186847474 3,332022648 4,6 35 7,88571428571428 16,66665 7,88571428571428 109,9567475 107,4 113,8441072 112,4 14,50607004 35 45 13,686641
"Evento 130" 99,127673847 230 25,8593931774783 86,636054350174 46,9650285714286 97,4 240 24,35 91,6666665 34 109,9567475 107,4 113,8441072 112,4 291,5435951 230 240 14,45067129
"Evento 131" 23,32415855 80 17,4931189125 56,6466509180367 38,8666 28,8 80 21,6 77,083325 32,64 36,09691204 35 36,37458059 38,2 70,50514189 80 85 18,64312458
"Evento 132" 3,887359758 35 6,66404529942857 16,6607796831873 6,66404529942857 3,2 35 5,48571428571429 11,33325 5,48571428571429 36,09691204 35 36,37458059 38,2 33,31156414 30 30 32,37644874
"Evento 133" 1,110674216 20 3,332022648 3,33215593423737 3,332022648 0,8 20 2,4 3,125 2,4 1,666011324 0,8 4,442696864 3 12,19838844 35 35 11,69610006
"Evento 134" 14,161096263 55 15,4484686505455 39,9858712348494 18,5066666666667 11 50 13,2 34,375 18,5142857142857 14,16109626 11 15,82710759 11,8 19,25971371 55 60 12,00512062
"Evento 135" 47,481322768 150 18,9925291072 43,3180271810872 26,28 29,6 140 12,6857142857143 27,08325 18,3 4,442696867 1 18,60379313 12 72,51457106 135 145 15,90945907
"Evento 136" 3,054354094 50 3,6652249128 6,66431186847474 4,16655 1,4 50 1,68 3,13875 3 13,32809059 7,4 22,49115288 12,4 20,55739722 50 55 19,75408205
"Evento 137" 14,438764817 75 11,5510118536 36,653715300612 13,888 9,8 65 9,04615384615385 21,875 11,28 47,7589913 27,8 47,7589913 27,8 17,74057258 75 70 14,32824253
"Evento 138" 2,499016986 55 2,72620034836364 6,66431186847474 3,984 1,4 50 1,68 3,125 3 47,7589913 27,8 47,7589913 27,8 17,19330948 55 50 12,2162102
"Evento 139" 14,994101919 195 4,61356982123077 26,6572474978999 7,485 7,8 185 2,52972972972973 7,29166675 2,31578947368421 47,7589913 27,8 47,7589913 27,8 17,16734196 200 185 12,32587502
"Evento 140" 11,662079276 60 11,662079276 29,9894034321373 11,388 7,4 65 6,83076923076923 12,5 10,9714285714286 12,21741638 8 12,21741638 8 15,39912307 85 80 8,316328084
"Evento 141" 11,384410714 335 2,03899893385075 3,33215593423737 3,332 6,8 335 1,21791044776119 2,08333333333333 1,37142857142857 12,21741638 7,2 24,43483276 15,2 12,25076194 340 330 10,4441775
"Evento 142" 53,867699516 130 24,8620151612308 76,6395865474619 27,6678260869565 32,6 110 17,7818181818182 42,7083333333333 17,7818181818182 67,19579011 41,4 67,19579011 41,4 47,1462856 130 120 8,659526878
"Evento 143" 4,442696864 105 2,53868392228571 6,66431186847474 4,98 2,2 95 1,38947368421053 3,125 2,4 67,19579011 41,4 67,19579011 41,4 17,36025737 135 120 13,15880506
